"model_type","n","innov_dist","contamination","epsilon","hp_scenario","delta","rate_linearized","rate_l2","mean_loc_linearized","mean_loc_l2"
"LMHC",1000,"normal","AO",0.05,"H1",1,0.969,0.204,0.502,0.5074
"LMHC",5000,"normal","AO",0.05,"H1",1,1,1,0.5008,0.5004
"LMHC",500,"t3","AO",0.05,"H1",1,0.872,0.04,0.5109,0.5182
"LMHC",1000,"t3","AO",0.05,"H1",1,0.995,0.196,0.5048,0.5006
"LMHC",5000,"t3","AO",0.05,"H1",1,1,0.996,0.5012,0.4991
"LMHC",500,"normal","IO",0.05,"H1",1,0.197,0.01,0.5169,0.5242
"LMHC",1000,"normal","IO",0.05,"H1",1,0.656,0.023,0.5087,0.5237
"LMHC",5000,"normal","IO",0.05,"H1",1,1,0.3,0.5012,0.5091
"LMHC",500,"t3","IO",0.05,"H1",1,0.251,0.016,0.5156,0.5294
"LMHC",1000,"t3","IO",0.05,"H1",1,0.724,0.026,0.5059,0.523
"LMHC",5000,"t3","IO",0.05,"H1",1,1,0.296,0.5008,0.5099
"LMHC",500,"normal","RO",0.05,"H1",1,0.608,0.157,0.5107,0.5154
"LMHC",1000,"normal","RO",0.05,"H1",1,0.953,0.558,0.5027,0.5105
"LMHC",5000,"normal","RO",0.05,"H1",1,1,1,0.5003,0.5004
"LMHC",500,"t3","RO",0.05,"H1",1,0.78,0.177,0.5089,0.531
"LMHC",1000,"t3","RO",0.05,"H1",1,0.995,0.546,0.507,0.5056
"LMHC",5000,"t3","RO",0.05,"H1",1,1,1,0.5009,0.5002
"LMHC",500,"normal","Clean",0,"H2",1,0.307,0.066,0.5135,0.5376
"LMHC",1000,"normal","Clean",0,"H2",1,0.626,0.22,0.5129,0.5159
"LMHC",5000,"normal","Clean",0,"H2",1,1,0.997,0.5094,0.5099
"LMHC",500,"t3","Clean",0,"H2",1,0.406,0.068,0.525,0.5315
"LMHC",1000,"t3","Clean",0,"H2",1,0.827,0.244,0.5158,0.5201
"LMHC",5000,"t3","Clean",0,"H2",1,1,0.986,0.5085,0.5097
"LMHC",500,"normal","AO",0.05,"H2",1,0.246,0.013,0.5222,0.5321
"LMHC",1000,"normal","AO",0.05,"H2",1,0.549,0.03,0.5145,0.52
"LMHC",5000,"normal","AO",0.05,"H2",1,1,0.675,0.5045,0.5094
"LMHC",500,"t3","AO",0.05,"H2",1,0.354,0.011,0.5218,0.5247
"LMHC",1000,"t3","AO",0.05,"H2",1,0.769,0.037,0.5203,0.5255
"LMHC",5000,"t3","AO",0.05,"H2",1,1,0.679,0.5086,0.5147
"LMHC",500,"normal","IO",0.05,"H2",1,0.063,0.007,0.5107,0.533
"LMHC",1000,"normal","IO",0.05,"H2",1,0.19,0.018,0.522,0.5167
"LMHC",5000,"normal","IO",0.05,"H2",1,0.996,0.082,0.5107,0.5113
"LMHC",500,"t3","IO",0.05,"H2",1,0.061,0.013,0.5268,0.518
"LMHC",1000,"t3","IO",0.05,"H2",1,0.226,0.017,0.5156,0.5155
"LMHC",5000,"t3","IO",0.05,"H2",1,1,0.074,0.5027,0.516
"LMHC",500,"normal","RO",0.05,"H2",1,0.22,0.038,0.5307,0.5425
"LMHC",1000,"normal","RO",0.05,"H2",1,0.49,0.122,0.5136,0.5266
"LMHC",5000,"normal","RO",0.05,"H2",1,1,0.956,0.5089,0.5125
"LMHC",500,"t3","RO",0.05,"H2",1,0.307,0.035,0.5292,0.5521
"LMHC",1000,"t3","RO",0.05,"H2",1,0.665,0.124,0.5187,0.5244
"LMHC",5000,"t3","RO",0.05,"H2",1,1,0.959,0.5034,0.5089
"LMHC",500,"normal","Clean",0,"H1",1.25,0.926,0.521,0.5082,0.5061
"LMHC",1000,"normal","Clean",0,"H1",1.25,0.998,0.939,0.5077,0.5035
"LMHC",5000,"normal","Clean",0,"H1",1.25,1,1,0.5009,0.5001
"LMHC",500,"t3","Clean",0,"H1",1.25,0.982,0.535,0.5074,0.5093
"LMHC",1000,"t3","Clean",0,"H1",1.25,1,0.935,0.5057,0.5001
"LMHC",5000,"t3","Clean",0,"H1",1.25,1,1,0.5012,0.5003
"LMHC",500,"normal","AO",0.05,"H1",1.25,0.861,0.066,0.5095,0.5261
"LMHC",1000,"normal","AO",0.05,"H1",1.25,0.998,0.355,0.5048,0.5038
"LMHC",5000,"normal","AO",0.05,"H1",1.25,1,1,0.501,0.5
"LMHC",500,"t3","AO",0.05,"H1",1.25,0.951,0.084,0.5101,0.5035
"LMHC",1000,"t3","AO",0.05,"H1",1.25,1,0.369,0.5042,0.5006
"LMHC",5000,"t3","AO",0.05,"H1",1.25,1,0.999,0.5013,0.4989
"LMHC",500,"normal","IO",0.05,"H1",1.25,0.37,0.013,0.5154,0.5328
"LMHC",1000,"normal","IO",0.05,"H1",1.25,0.846,0.035,0.5082,0.5285
"LMHC",5000,"normal","IO",0.05,"H1",1.25,1,0.555,0.5014,0.5061
"LMHC",500,"t3","IO",0.05,"H1",1.25,0.404,0.019,0.5094,0.5281
"LMHC",1000,"t3","IO",0.05,"H1",1.25,0.894,0.051,0.5081,0.5258
"LMHC",5000,"t3","IO",0.05,"H1",1.25,1,0.494,0.5012,0.5016
"LMHC",500,"normal","RO",0.05,"H1",1.25,0.81,0.302,0.5076,0.5126
"LMHC",1000,"normal","RO",0.05,"H1",1.25,0.993,0.769,0.5055,0.5055
"LMHC",5000,"normal","RO",0.05,"H1",1.25,1,1,0.5008,0.5004
"LMHC",500,"t3","RO",0.05,"H1",1.25,0.933,0.319,0.5099,0.5212
"LMHC",1000,"t3","RO",0.05,"H1",1.25,0.998,0.768,0.5062,0.5051
"LMHC",5000,"t3","RO",0.05,"H1",1.25,1,0.998,0.5013,0.5011
"LMHC",500,"normal","Clean",0,"H2",1.25,0.446,0.128,0.5328,0.5308
"LMHC",1000,"normal","Clean",0,"H2",1.25,0.797,0.394,0.5204,0.5122
"LMHC",5000,"normal","Clean",0,"H2",1.25,1,1,0.5083,0.5087
"LMHC",500,"t3","Clean",0,"H2",1.25,0.623,0.133,0.5345,0.5388
"LMHC",1000,"t3","Clean",0,"H2",1.25,0.966,0.438,0.5202,0.5184
"LMHC",5000,"t3","Clean",0,"H2",1.25,1,0.995,0.5077,0.5034
"LMHC",500,"normal","AO",0.05,"H2",1.25,0.383,0.013,0.5286,0.5313
"LMHC",1000,"normal","AO",0.05,"H2",1.25,0.752,0.049,0.5201,0.5157
"LMHC",5000,"normal","AO",0.05,"H2",1.25,1,0.903,0.5077,0.5072
"LMHC",500,"t3","AO",0.05,"H2",1.25,0.529,0.02,0.5307,0.5379
"LMHC",1000,"t3","AO",0.05,"H2",1.25,0.931,0.067,0.5213,0.5161
"LMHC",5000,"t3","AO",0.05,"H2",1.25,1,0.905,0.5027,0.5034
"LMHC",500,"normal","IO",0.05,"H2",1.25,0.089,0.008,0.517,0.5287
"LMHC",1000,"normal","IO",0.05,"H2",1.25,0.324,0.012,0.5117,0.5189
"LMHC",5000,"normal","IO",0.05,"H2",1.25,1,0.123,0.5029,0.5073
"LMHC",500,"t3","IO",0.05,"H2",1.25,0.087,0.011,0.518,0.5243
"LMHC",1000,"t3","IO",0.05,"H2",1.25,0.399,0.018,0.5182,0.5243
"LMHC",5000,"t3","IO",0.05,"H2",1.25,1,0.117,0.5085,0.5135
"LMHC",500,"normal","RO",0.05,"H2",1.25,0.297,0.058,0.5291,0.5495
"LMHC",1000,"normal","RO",0.05,"H2",1.25,0.7,0.203,0.5137,0.5375
"LMHC",5000,"normal","RO",0.05,"H2",1.25,1,0.998,0.5048,0.5081
"LMHC",500,"t3","RO",0.05,"H2",1.25,0.464,0.06,0.5338,0.5425
"LMHC",1000,"t3","RO",0.05,"H2",1.25,0.853,0.236,0.5206,0.5355
"LMHC",5000,"t3","RO",0.05,"H2",1.25,1,0.994,0.5056,0.5116
