"model_type","n","innov_dist","contamination","epsilon","hp_scenario","delta","rate_linearized","rate_l2","mean_loc_linearized","mean_loc_l2"
"LMHC",5000,"normal","AO",0.05,"H2",1,1,0.839,0.5197,0.5234
"LMHC",500,"t3","AO",0.05,"H2",1,0.398,0.025,0.5435,0.5448
"LMHC",1000,"t3","AO",0.05,"H2",1,0.836,0.098,0.5439,0.5326
"LMHC",5000,"t3","AO",0.05,"H2",1,1,0.814,0.5249,0.5317
"LMHC",500,"normal","IO",0.05,"H2",1,0.127,0.014,0.5355,0.553
"LMHC",1000,"normal","IO",0.05,"H2",1,0.363,0.022,0.5394,0.5456
"LMHC",5000,"normal","IO",0.05,"H2",1,1,0.148,0.5222,0.5169
"LMHC",500,"t3","IO",0.05,"H2",1,0.175,0.017,0.5525,0.5422
"LMHC",1000,"t3","IO",0.05,"H2",1,0.596,0.025,0.5373,0.537
"LMHC",5000,"t3","IO",0.05,"H2",1,1,0.132,0.5205,0.5308
"LMHC",500,"normal","RO",0.05,"H2",1,0.219,0.066,0.5456,0.5613
"LMHC",1000,"normal","RO",0.05,"H2",1,0.525,0.215,0.5364,0.549
"LMHC",5000,"normal","RO",0.05,"H2",1,1,0.98,0.5177,0.5278
"LMHC",500,"t3","RO",0.05,"H2",1,0.376,0.073,0.5483,0.5752
"LMHC",1000,"t3","RO",0.05,"H2",1,0.796,0.216,0.5421,0.5436
"LMHC",5000,"t3","RO",0.05,"H2",1,1,0.985,0.5179,0.5258
"LMHC",500,"normal","Clean",0,"H1",1.25,0.891,0.807,0.5143,0.5083
"LMHC",1000,"normal","Clean",0,"H1",1.25,0.998,0.993,0.508,0.5068
"LMHC",5000,"normal","Clean",0,"H1",1.25,1,1,0.5013,0.5009
"LMHC",500,"t3","Clean",0,"H1",1.25,0.97,0.782,0.5128,0.5122
"LMHC",1000,"t3","Clean",0,"H1",1.25,1,0.982,0.508,0.5057
"LMHC",5000,"t3","Clean",0,"H1",1.25,1,1,0.5016,0.5008
"LMHC",500,"normal","AO",0.05,"H1",1.25,0.864,0.235,0.5163,0.5266
"LMHC",1000,"normal","AO",0.05,"H1",1.25,0.996,0.709,0.5073,0.5118
"LMHC",5000,"normal","AO",0.05,"H1",1.25,1,1,0.5014,0.5018
"LMHC",500,"t3","AO",0.05,"H1",1.25,0.974,0.266,0.513,0.5219
"LMHC",1000,"t3","AO",0.05,"H1",1.25,1,0.707,0.5062,0.5082
"LMHC",5000,"t3","AO",0.05,"H1",1.25,1,1,0.5017,0.5013
"LMHC",500,"normal","IO",0.05,"H1",1.25,0.653,0.03,0.5227,0.5478
"LMHC",1000,"normal","IO",0.05,"H1",1.25,0.961,0.094,0.5114,0.5366
"LMHC",5000,"normal","IO",0.05,"H1",1.25,1,0.715,0.5022,0.5088
"LMHC",500,"t3","IO",0.05,"H1",1.25,0.796,0.034,0.5214,0.5405
"LMHC",1000,"t3","IO",0.05,"H1",1.25,0.985,0.097,0.509,0.5333
"LMHC",5000,"t3","IO",0.05,"H1",1.25,1,0.688,0.5025,0.5065
"LMHC",500,"normal","RO",0.05,"H1",1.25,0.847,0.575,0.5168,0.515
"LMHC",1000,"normal","RO",0.05,"H1",1.25,0.998,0.934,0.5064,0.5088
"LMHC",5000,"normal","RO",0.05,"H1",1.25,1,1,0.5014,0.5014
"LMHC",500,"t3","RO",0.05,"H1",1.25,0.955,0.563,0.5148,0.5198
"LMHC",1000,"t3","RO",0.05,"H1",1.25,0.999,0.918,0.5082,0.5077
"LMHC",5000,"t3","RO",0.05,"H1",1.25,1,0.998,0.5018,0.5021
"LMHC",500,"normal","Clean",0,"H2",1.25,0.407,0.226,0.5458,0.5545
"LMHC",1000,"normal","Clean",0,"H2",1.25,0.785,0.625,0.5337,0.541
"LMHC",5000,"normal","Clean",0,"H2",1.25,1,1,0.5178,0.5222
"LMHC",500,"t3","Clean",0,"H2",1.25,0.619,0.25,0.5523,0.5594
"LMHC",1000,"t3","Clean",0,"H2",1.25,0.974,0.665,0.5391,0.5451
"LMHC",5000,"t3","Clean",0,"H2",1.25,1,0.998,0.5214,0.5197
"LMHC",500,"normal","AO",0.05,"H2",1.25,0.344,0.058,0.549,0.5446
"LMHC",1000,"normal","AO",0.05,"H2",1.25,0.767,0.163,0.5401,0.5396
"LMHC",5000,"normal","AO",0.05,"H2",1.25,1,0.955,0.5203,0.5216
"LMHC",500,"t3","AO",0.05,"H2",1.25,0.593,0.058,0.5631,0.5573
"LMHC",1000,"t3","AO",0.05,"H2",1.25,0.951,0.185,0.5458,0.5409
"LMHC",5000,"t3","AO",0.05,"H2",1.25,1,0.965,0.5211,0.5193
"LMHC",500,"normal","IO",0.05,"H2",1.25,0.207,0.01,0.5478,0.5548
"LMHC",1000,"normal","IO",0.05,"H2",1.25,0.554,0.026,0.5322,0.5313
"LMHC",5000,"normal","IO",0.05,"H2",1.25,1,0.22,0.5178,0.5166
"LMHC",500,"t3","IO",0.05,"H2",1.25,0.286,0.013,0.5457,0.552
"LMHC",1000,"t3","IO",0.05,"H2",1.25,0.802,0.036,0.546,0.5449
"LMHC",5000,"t3","IO",0.05,"H2",1.25,1,0.201,0.5247,0.5239
"LMHC",500,"normal","RO",0.05,"H2",1.25,0.319,0.1,0.5453,0.5631
"LMHC",1000,"normal","RO",0.05,"H2",1.25,0.741,0.362,0.535,0.5516
"LMHC",5000,"normal","RO",0.05,"H2",1.25,1,0.998,0.5167,0.5261
"LMHC",500,"t3","RO",0.05,"H2",1.25,0.605,0.134,0.5553,0.5644
"LMHC",1000,"t3","RO",0.05,"H2",1.25,0.948,0.388,0.546,0.5528
"LMHC",5000,"t3","RO",0.05,"H2",1.25,1,0.995,0.5229,0.5277
