"model_type","n","innov_dist","contamination","epsilon","hp_scenario","delta","rate_linearized","rate_l2","mean_loc_linearized","mean_loc_l2"
"LMUH",5000,"t3","IO",0.05,"H1",1,1,0.947,0.5021,0.5023
"LMUH",500,"normal","RO",0.05,"H1",1,0.836,0.303,0.5094,0.5108
"LMUH",1000,"normal","RO",0.05,"H1",1,0.996,0.765,0.5051,0.5019
"LMUH",5000,"normal","RO",0.05,"H1",1,1,1,0.5017,0.4994
"LMUH",500,"t3","RO",0.05,"H1",1,0.937,0.31,0.5118,0.5179
"LMUH",1000,"t3","RO",0.05,"H1",1,0.999,0.742,0.5071,0.5003
"LMUH",5000,"t3","RO",0.05,"H1",1,1,1,0.5024,0.4992
"LMUH",500,"normal","Clean",0,"H2",1,0.513,0.265,0.5285,0.5317
"LMUH",1000,"normal","Clean",0,"H2",1,0.924,0.797,0.5228,0.521
"LMUH",5000,"normal","Clean",0,"H2",1,1,1,0.5137,0.5126
"LMUH",500,"t3","Clean",0,"H2",1,0.684,0.275,0.5369,0.5384
"LMUH",1000,"t3","Clean",0,"H2",1,0.99,0.805,0.5186,0.5209
"LMUH",5000,"t3","Clean",0,"H2",1,1,0.999,0.5099,0.5108
"LMUH",500,"normal","AO",0.05,"H2",1,0.426,0.011,0.5257,0.5281
"LMUH",1000,"normal","AO",0.05,"H2",1,0.896,0.029,0.5256,0.5219
"LMUH",5000,"normal","AO",0.05,"H2",1,1,0.829,0.5094,0.5116
"LMUH",500,"t3","AO",0.05,"H2",1,0.625,0.009,0.5432,0.5184
"LMUH",1000,"t3","AO",0.05,"H2",1,0.989,0.045,0.5294,0.5193
"LMUH",5000,"t3","AO",0.05,"H2",1,1,0.811,0.51,0.5122
"LMUH",500,"normal","IO",0.05,"H2",1,0.092,0.008,0.5057,0.509
"LMUH",1000,"normal","IO",0.05,"H2",1,0.392,0.022,0.5297,0.5082
"LMUH",5000,"normal","IO",0.05,"H2",1,1,0.37,0.5114,0.4949
"LMUH",500,"t3","IO",0.05,"H2",1,0.122,0.013,0.5171,0.5032
"LMUH",1000,"t3","IO",0.05,"H2",1,0.471,0.031,0.5185,0.4986
"LMUH",5000,"t3","IO",0.05,"H2",1,1,0.347,0.5069,0.511
"LMUH",500,"normal","RO",0.05,"H2",1,0.331,0.052,0.5336,0.5312
"LMUH",1000,"normal","RO",0.05,"H2",1,0.795,0.195,0.5186,0.5261
"LMUH",5000,"normal","RO",0.05,"H2",1,1,0.993,0.5211,0.5162
"LMUH",500,"t3","RO",0.05,"H2",1,0.494,0.044,0.5406,0.5584
"LMUH",1000,"t3","RO",0.05,"H2",1,0.912,0.193,0.5292,0.5333
"LMUH",5000,"t3","RO",0.05,"H2",1,1,0.991,0.5143,0.5154
"LMUH",500,"normal","Clean",0,"H1",1.25,0.992,0.958,0.51,0.5036
"LMUH",1000,"normal","Clean",0,"H1",1.25,1,1,0.5062,0.5021
"LMUH",5000,"normal","Clean",0,"H1",1.25,1,1,0.5023,0.5007
