"iteration","replication","scenario","contamination","percentage_contamination","shift_k","innov_dist","n","loss","bias_teta","bias_lin_teta","sq_error_teta","sq_error_lin_teta","k_rate"
4,5,"H2","clean",0.1,2,"gaussian",100,"Welsh",-0.102468501629998,-0.1214925288033,0.010499793826297,0.0147604345550207,0.5396
4,5,"H2","clean",0.1,2,"gaussian",500,"Welsh",-0.048304480580359,0.019389673485346,0.00233332284413828,0.000375959437868331,0.6089
4,5,"H0","AO",0.1,2,"gaussian",100,"Welsh",0.0153521836736417,-0.0313462173788318,0.00023568954354923,0.000982585343960974,0.6394
4,5,"H0","AO",0.1,2,"gaussian",500,"Welsh",0.00718821309740805,0.0233421584772157,5.16704075337487e-05,0.000544856362375453,0.6477
4,5,"H1","AO",0.1,2,"gaussian",100,"Welsh",-0.168201375619566,0.0356937944036932,0.0282917027603144,0.00127404695893312,0.5396
4,5,"H1","AO",0.1,2,"gaussian",500,"Welsh",-0.0615267346301864,-0.0241526535509373,0.00378553907425338,0.000583350673551605,0.482
4,5,"H2","AO",0.1,2,"gaussian",100,"Welsh",-0.406603272447079,-0.341172715278093,0.165326221164674,0.116398821650227,0.6394
4,5,"H2","AO",0.1,2,"gaussian",500,"Welsh",-0.118369701508927,-0.0155534002400184,0.0140113862353125,0.000241908259026204,0.6477
4,5,"H0","IO",0.1,2,"gaussian",100,"Welsh",-0.387617570783607,-0.225506325576887,0.150247381180185,0.0508531028751889,0.5396
4,5,"H0","IO",0.1,2,"gaussian",500,"Welsh",0.0210458240898908,-0.017767317213057,0.000442926711622629,0.000315677560949391,0.6477
4,5,"H1","IO",0.1,2,"gaussian",100,"Welsh",-0.120096088186301,0.149935668208347,0.0144230703976519,0.0224807046010835,0.6394
4,5,"H1","IO",0.1,2,"gaussian",500,"Welsh",-0.0991602621711247,-0.043338144290789,0.00983275759384619,0.00187819475056924,0.5577
4,5,"H2","IO",0.1,2,"gaussian",100,"Welsh",-0.166299675391425,-0.129503730782006,0.0276555820352934,0.0167712162864582,0.6394
4,5,"H2","IO",0.1,2,"gaussian",500,"Welsh",0.0326218213864615,0.0741729652645295,0.0010641832305702,0.00550162877613311,0.5577
4,5,"H0","clean",0.1,2,"t3",100,"Welsh",0.0795462348482729,0.143025165108015,0.00632760347853659,0.0204561978541749,0.6394
4,5,"H0","clean",0.1,2,"t3",500,"Welsh",-0.0445498105776494,-0.085589317480107,0.00198468562250445,0.00732553126671054,0.6477
4,5,"H1","clean",0.1,2,"t3",100,"Welsh",0.00608681653209242,0.114486779963171,3.70493354953536e-05,0.0131072227863356,0.6394
4,5,"H1","clean",0.1,2,"t3",500,"Welsh",0.0638535695065721,0.130944684710592,0.00407727833873063,0.0171465104539564,0.5577
4,5,"H2","clean",0.1,2,"t3",100,"Welsh",-0.139242320144575,-0.039839679390707,0.0193884237192443,0.00158720005395432,0.4515
4,5,"H2","clean",0.1,2,"t3",500,"Welsh",-0.0791401215565393,-0.0119543367522199,0.00626315883998381,0.000142906167185476,0.6477
4,5,"H0","AO",0.1,2,"t3",100,"Welsh",0.0749566993157281,0.171787837151137,0.00561850677230848,0.0295110609930655,0.6394
4,5,"H0","AO",0.1,2,"t3",500,"Welsh",0.0117702688992699,0.00375236165722937,0.000138539229961119,1.40802180066451e-05,0.6477
4,5,"H1","AO",0.1,2,"t3",100,"Welsh",-0.265565364803712,-0.0543289792829562,0.0705249629833288,0.00295163798992789,0.6394
4,5,"H1","AO",0.1,2,"t3",500,"Welsh",-0.0493947276405335,-0.0100462505522969,0.00243983911868249,0.000100927150159526,0.5577
4,5,"H2","AO",0.1,2,"t3",100,"Welsh",-0.171724134929909,0.0234067692075441,0.0294891785174256,0.000547876844735237,0.6394
4,5,"H2","AO",0.1,2,"t3",500,"Welsh",-0.16295443042922,-0.0627554029567707,0.0265541463965113,0.00393824060026667,0.6477
4,5,"H0","IO",0.1,2,"t3",100,"Welsh",-0.165312330276087,-0.239999897840947,0.02732816654131,0.0575999509636649,0.4515
4,5,"H0","IO",0.1,2,"t3",500,"Welsh",0.169078276823121,0.143267362905496,0.0285874636934759,0.0205255372738951,0.6477
4,5,"H1","IO",0.1,2,"t3",100,"Welsh",-0.0645015325134717,0.0544548327508978,0.00416044769658644,0.00296532880992825,0.6394
4,5,"H1","IO",0.1,2,"t3",500,"Welsh",-0.0425463275480091,0.0936478070677693,0.00181018998782248,0.00876991176860215,0.5577
4,5,"H2","IO",0.1,2,"t3",100,"Welsh",0.0571913496530083,0.183268877426383,0.00327085047513265,0.0335874814331266,0.6394
4,5,"H2","IO",0.1,2,"t3",500,"Welsh",-0.0061098897800278,0.104852025745442,3.73307531240882e-05,0.0109939473029228,0.6477
5,5,"H0","clean",0.1,2,"gaussian",100,"Welsh",0.109188076489402,0.121327490400115,0.0119220360474554,0.01472035992679,0.5396
5,5,"H0","clean",0.1,2,"gaussian",500,"Welsh",-0.053344673054136,-0.0513787742723112,0.00284565414325267,0.00263977844572511,0.6089
5,5,"H1","clean",0.1,2,"gaussian",100,"Welsh",0.107951286555563,0.138905646398167,0.0116534802690013,0.0192947786012926,0.588
5,5,"H1","clean",0.1,2,"gaussian",500,"Welsh",-0.0806483071635928,-0.0482222310853102,0.00650414944835322,0.00232538357084506,0.482
5,5,"H2","clean",0.1,2,"gaussian",100,"Welsh",-0.0928030522731844,-0.00984561248449389,0.0086124065112194,9.6936085194822e-05,0.6394
5,5,"H2","clean",0.1,2,"gaussian",500,"Welsh",-0.0461897015084956,0.0464862090076232,0.00213348852544392,0.00216096762790043,0.6477
5,5,"H0","AO",0.1,2,"gaussian",100,"Welsh",0.155543667910009,0.0918590349955978,0.024193832626899,0.00843808231032246,0.5396
5,5,"H0","AO",0.1,2,"gaussian",500,"Welsh",0.0817651122732306,0.0975475035514026,0.006685533585054,0.0095155154491109,0.6477
5,5,"H1","AO",0.1,2,"gaussian",100,"Welsh",-0.133611422056974,-0.0535320122561991,0.0178520121040868,0.00286567633619785,0.588
5,5,"H1","AO",0.1,2,"gaussian",500,"Welsh",-0.0310898356695766,-0.0338701224738847,0.000966577881961276,0.00114718519639595,0.482
5,5,"H2","AO",0.1,2,"gaussian",100,"Welsh",0.0142327349985241,0.145069794812461,0.000202570745538212,0.0210452453669296,0.5396
5,5,"H2","AO",0.1,2,"gaussian",500,"Welsh",-0.00231778972368146,0.087502962238325,5.37214920320339e-06,0.00765676840048173,0.6089
5,5,"H0","IO",0.1,2,"gaussian",100,"Welsh",-0.0801794490472784,-0.0886200136618779,0.00642874404952511,0.00785350682143143,0.4515
5,5,"H0","IO",0.1,2,"gaussian",500,"Welsh",0.0587520314869251,0.0400843901530254,0.00345180120384064,0.00160675833393996,0.6477
5,5,"H1","IO",0.1,2,"gaussian",100,"Welsh",-0.0638713776158739,0.0597389961253276,0.00407955287854956,0.00356874765806191,0.6394
5,5,"H1","IO",0.1,2,"gaussian",500,"Welsh",-0.110772974064937,0.0194411494539382,0.0122706517831911,0.00037795829209036,0.5577
5,5,"H2","IO",0.1,2,"gaussian",100,"Welsh",-0.229480591725135,-0.0903576330377556,0.0526613419785181,0.0081645018481857,0.588
5,5,"H2","IO",0.1,2,"gaussian",500,"Welsh",-0.0692458113441254,0.0131400818709304,0.00479498238870621,0.000172661751574754,0.6477
